[07-25-2022][00.02.32] New Synch Log File Created!
[07-25-2022][04.02.32] Log file reloaded ( Server Restart )
[17:34:16] Player (Majky, 76561198275611052)(<3411.108643, 12.659751, 5048.064941>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3276.376465, 34.151474, 4613.831055>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3421.042480, 15.097157, 5042.374512>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3474.251709, 5.145625, 5386.092773>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3474.218506, 6.642277, 5363.240723>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3460.936523, 4.847070, 5356.074219>) requested data for lock!
[17:34:16] Player (Majky, 76561198275611052)(<3585.483643, 23.219879, 4879.533691>) requested data for lock!
[17:36:32] Player (Majky, 76561198275611052)(<4380.106445, 2.076707, 5958.709961>) requested data for lock!
[17:36:33] Player (Majky, 76561198275611052)(<4379.876953, 2.008279, 5963.796387>) requested data for lock!
[17:36:33] Player (Majky, 76561198275611052)(<4378.048340, 1.954537, 5968.927246>) requested data for lock!
[17:36:33] Player (Majky, 76561198275611052)(<4373.662109, 3.838867, 5976.322266>) requested data for lock!
[17:36:59] Player (Majky, 76561198275611052)(<2436.508545, 53.178806, 5278.377441>) requested data for lock!
[17:36:59] Player (Majky, 76561198275611052)(<2435.960938, 55.353981, 5288.420898>) requested data for lock!
[17:38:17] Player (Majky, 76561198275611052)(<4373.662109, 3.838867, 5976.322266>) requested data for lock!
[17:38:17] Player (Majky, 76561198275611052)(<4378.048340, 1.954537, 5968.927246>) requested data for lock!
[17:38:17] Player (Majky, 76561198275611052)(<4379.876953, 2.008279, 5963.796387>) requested data for lock!
[17:38:17] Player (Majky, 76561198275611052)(<4380.106445, 2.076707, 5958.709961>) requested data for lock!
[17:44:00] Player (Majky, 76561198275611052)(<8778.493164, 7.761222, 6659.283691>) requested data for lock!
[07-25-2022][20.02.35] Log file reloaded ( Server Restart )
[21:38:21] Player (Majky, 76561198275611052)(<8778.493164, 7.761222, 6659.283691>) requested data for lock!
